Title,Author,State,District,Date of Challenge/Removal,Banned Status,Ban Origin
Sold,"McCormick, Patricia",Florida,Volusia County Schools,Mar-23,Banned from Libraries,Administration
Someday,"Levithan, David",Florida,Clay County School District,Nov-22,Banned Pending Investigation,Formal Challenge
Someone I Used to Know,"Blount, Patty",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Something Happened in Our Town,"Celano, Marianne",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Something Happened in Our Town,"Celano, Marianne",Florida,Collier County Public Schools,Mar-23,Banned from Libraries and Classrooms,Administration
Something to Say,"Ramée, Lisa Moore",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Songs of a Humpback Whale,"Picoult, Jodi",Florida,Martin County Schools,Feb-23,Banned from Libraries and Classrooms,Formal Challenge
"Sorted: Growing Up, Coming Out, and Finding My Place","Bird, Jackson",Florida,Escambia County Public Schools,Sep-22,Banned Pending Investigation,Formal Challenge
Speak,"Anderson, Laurie Halse",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Speak,"Anderson, Laurie Halse",Florida,Escambia County Public Schools,Sep-22,Banned Pending Investigation,Formal Challenge
Speak,"Anderson, Laurie Halse",Florida,Martin County Schools,Feb-23,Banned from Libraries and Classrooms,Formal Challenge
Speak,"Anderson, Laurie Halse",Florida,School District of Hamilton County,Mar-23,Banned from Libraries and Classrooms,Administration
Speak: Chinese Edition,"Anderson, Laurie Halse",Florida,Martin County Schools,Feb-23,Banned from Libraries and Classrooms,Formal Challenge
Speak: The Graphic Novel,"Anderson, Laurie Halse",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Speak: The Graphic Novel,"Anderson, Laurie Halse",Florida,Martin County Schools,Feb-23,Banned from Libraries and Classrooms,Formal Challenge
Special Delivery,"Steel, Danielle",Florida,Martin County Schools,Mar-23,Banned from Libraries and Classrooms,Formal Challenge
Spider-Man in Face-to-Face with the Lizard,"Lee, Stan",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Spinning,"Walden, Tillie",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Spirits and Sorcerers,"Ross, Stewart",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Stained,"Jacobson, Jennifer Richard",Florida,Clay County School District,Sep-22,Banned from Libraries and Classrooms,Formal Challenge
"Stamped (For Kids): Racism, Antiracism, and You","Reynolds, Jason",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Stamped from the Beginning: The Definitive History of Racist Ideas in America,"Kendi, Ibram X.",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Stamped from the Beginning: The Definitive History of Racist Ideas in America,"Kendi, Ibram X.",Florida,Escambia County Public Schools,Sep-22,Banned Pending Investigation,Formal Challenge
"Stamped: Racism, Antiracism, and You","Reynolds, Jason",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
"Stamped: Racism, Antiracism, and You","Reynolds, Jason",Florida,Martin County Schools,Feb-23,Banned from Libraries and Classrooms,Formal Challenge
Stealing Heaven,"Scott, Elizabeth",Florida,Escambia County Public Schools,May-23,Banned Pending Investigation,Formal Challenge
Stella,"Hoyle, McCall",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Stella Brings the Family,"Schiffer, Miriam B.",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Stella Brings the Family,"Schiffer, Miriam B.",Florida,Escambia County Public Schools,Sep-22,Banned Pending Investigation,Formal Challenge
Stitching the Stars: The Story Quilts of Harriet Powers,"Lyons, Mary E.",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Stonewall: Breaking Out in the Fight for Gay Rights,"Bausum, Ann",Florida,Marion County Public Schools,AY 2022-2023,Banned Pending Investigation,Formal Challenge
Stories of Jesus,"Lane, Leena",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Storm and Fury,"Armentrout, Jennifer L.",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Story of a Girl,"Zarr, Sara",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Strange Truth,"Thrash, Maggie",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Sulwe,"Nyong'o, Lupita",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
SuperMutant Magic Academy,"Tamaki, Jillian",Florida,Escambia County Public Schools,May-23,Banned Pending Investigation,Formal Challenge
Take the Mic: Fictional Stories of Everyday Resistance,"Reynolds, Jason",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Tennyson,"Blume, Lesley M. M.",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Thanksgiving Poems,"Livingston, Myra Cohn",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
That's Betty!: The Story of Betty White,"Bonsignore, Gregory",Florida,Escambia County Public Schools,Apr-23,Banned Pending Investigation,Formal Challenge
The 1619 Project: A New Origin Story,"Hannah-Jones, Nikole",Florida,Escambia County Public Schools,Sep-22,Banned Pending Investigation,Formal Challenge
The 1619 Project: Born on the Water,"Hannah-Jones, Nikole",Florida,The School District of Palm Beach County,Jul-22,Banned from Classrooms,Legislative Action
The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives,"Slater, Dashka",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives,"Slater, Dashka",Florida,Escambia County Public Schools,Sep-22,Banned Pending Investigation,Formal Challenge
The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives,"Slater, Dashka",Florida,Marion County Public Schools,AY 2022-2023,Banned Pending Investigation,Formal Challenge
The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives,"Slater, Dashka",Florida,School District of Manatee County,Jul-22,Banned from Libraries and Classrooms,Legislative Action
The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives,"Slater, Dashka",Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
The ABCs of Black History,"Cortez, Rio",Florida,Miami-Dade Public Schools,Mar-23,Banned from Libraries,Formal Challenge
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",Florida,Collier County Public Schools,Mar-23,Banned from Libraries,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",Florida,Escambia County Public Schools,Sep-22,Banned Pending Investigation,Formal Challenge
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",Florida,Flagler Schools,Oct-22,Banned Pending Investigation,Formal Challenge
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",Florida,Highlands Schools,Sep-22,Banned Pending Investigation,Informal Challenge
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",Florida,Lake County Schools,Fall 2022,Banned from Libraries,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",Florida,Marion County Public Schools,AY 2022-2023,Banned Pending Investigation,Formal Challenge
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",Florida,Martin County Schools,Feb-23,Banned from Libraries and Classrooms,Formal Challenge
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",Florida,Okaloosa County Schools District,Jan-23,Banned Pending Investigation,Administration
The Adventures of Honey and Leon,"Cumming, Alan",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Angel Experiment,"Patterson, James",Florida,Martin County Schools,Feb-23,Banned from Libraries,Formal Challenge
The Art of Junji Ito: Twisted Visions,"Ito, Junji",Florida,School District of Manatee County,Jun-23,Banned from Libraries and Classrooms,Administration
The Art of Racing in the Rain,"Stein, Garth",Florida,Clay County School District,Sep-22,Banned from Libraries and Classrooms,Formal Challenge
The Art of Racing in the Rain,"Stein, Garth",Florida,Martin County Schools,Feb-23,Banned from Libraries and Classrooms,Formal Challenge
The Art of Starving,"Miller, Sam J.",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Assassin's Blade,"Maas, Sarah J.",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
"The Backyard Bird Feeder's Bible: The A-Z Guide to Feeders, Seed Mixes, Projects, and Treats","Roth, Sally",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Beast and the Bethany,"Meggitt-Phillips, Jack",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Beginner's Bible: Timeless Bible Stories,Anonymous,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Best Laid Plans,"Lund, Cameron",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Bible for Young Children,"Delval, Marie-Hélène",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Bible Story,"Maxwell, Arthur",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Bible Story for Boys and Girls,"Bowie, Walter Russell",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Black Flamingo,"Atta, Dean",Florida,Clay County School District,Jul-22,Banned from Libraries,Formal Challenge
The Black Flamingo,"Atta, Dean",Florida,Escambia County Public Schools,Sep-22,Banned Pending Investigation,Formal Challenge
The Black Flamingo,"Atta, Dean",Florida,Flagler Schools,Jun-23,Banned from Libraries,Formal Challenge
The Black Flamingo,"Atta, Dean",Florida,Marion County Public Schools,AY 2022-2023,Banned Pending Investigation,Formal Challenge
The Black Flamingo,"Atta, Dean",Florida,Volusia County Schools,Jan-23,Banned from Libraries,Administration
The Black Friend: On Being a Better White Person,"Joseph, Frederick",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Blob,"Thorne, Ian",Florida,Gilchrist County Schools,Mar-23,Banned from Libraries and Classrooms,Administration
The Bluest Eye,"Morrison, Toni",Florida,Broward County Public Schools,Oct-22,Banned from Libraries,Informal Challenge
The Bluest Eye,"Morrison, Toni",Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
The Bluest Eye,"Morrison, Toni",Florida,Collier County Public Schools,Mar-23,Banned from Libraries,Administration
The Bluest Eye,"Morrison, Toni",Florida,Duval County Public Schools,Mar-23,Banned from Libraries and Classrooms,Administration
The Bluest Eye,"Morrison, Toni",Florida,Escambia County Public Schools,Aug-22,Banned from Libraries,Formal Challenge
The Bluest Eye,"Morrison, Toni",Florida,Highlands Schools,Sep-22,Banned Pending Investigation,Informal Challenge
The Bluest Eye,"Morrison, Toni",Florida,Marion County Public Schools,AY 2022-2023,Banned Pending Investigation,Formal Challenge
The Bluest Eye,"Morrison, Toni",Florida,Martin County Schools,Feb-23,Banned from Libraries and Classrooms,Formal Challenge
The Bluest Eye,"Morrison, Toni",Florida,Okaloosa County Schools District,Jan-23,Banned from Libraries and Classrooms,Administration
The Bluest Eye,"Morrison, Toni",Florida,Pinellas School District,Jan-23,Banned from Libraries and Classrooms,Administration
The Bluest Eye,"Morrison, Toni",Florida,School District of Hamilton County,Mar-23,Banned from Libraries and Classrooms,Administration
The Bluest Eye,"Morrison, Toni",Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
The Book of Pride: LGBTQ Heroes Who Changed the World,"Funk, Mason",Florida,Marion County Public Schools,AY 2022-2023,Banned Pending Investigation,Formal Challenge
The Boy and Girl Who Broke the World,"Reed, Amy",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Breakaways,"Johnson, Cathy G.",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Breakaways,"Johnson, Cathy G.",Florida,Escambia County Public Schools,Sep-22,Banned Pending Investigation,Formal Challenge
The Breakaways,"Johnson, Cathy G.",Florida,Martin County Schools,Feb-23,Banned from Libraries,Formal Challenge
The Breakaways,"Johnson, Cathy G.",Florida,St. Lucie Public Schools,Sep-22,Banned from Classrooms,Administration
The Carnival at Bray,"Foley, Jessie Ann",Florida,Clay County School District,Sep-22,Banned from Libraries and Classrooms,Formal Challenge
The Carnival at Bray,"Foley, Jessie Ann",Florida,Escambia County Public Schools,Oct-22,Banned Pending Investigation,Formal Challenge
The Carnival at Bray,"Foley, Jessie Ann",Florida,Martin County Schools,Feb-23,Banned from Libraries and Classrooms,Formal Challenge
The Carnival at Bray,"Foley, Jessie Ann",Florida,St. John's County School District,Jan-23,Banned Pending Investigation,Formal Challenge
The Carnival at Bray,"Foley, Jessie Ann",Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
The Chandler Legacies,"Nazemian, Abdi",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Children's Bible,"Tagholm, Sally",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Children's Christmas Pageant,"Frank, Marjorie",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Children's Illustrated Bible,"Hastings, Selina",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Christmas Story,"Chorao, Kay",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Christmas Story: According to the Gospels of Matthew and Luke from the King James Bible,Anonymous,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Color of Earth,"Kim, Dong Hwa",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Creation,"Johnson, James Weldon",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Cupcake Bible: More Than 150 Recipes for Fun and Delicious Cupcakes,Publications International Ltd.,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Deadly Mantis,"Thorne, Ian",Florida,Gilchrist County Schools,Mar-23,Banned from Libraries and Classrooms,Administration
The Detour,"Bodeen, S.A.",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Dictionary of Cultural Literacy,"Hirsh, Eric Donald",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Disturbed Girl's Dictionary,"Ramos, NoNieqa",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The DUFF: Designated Ugly Fat Friend,"Keplinger, Kody",Florida,Escambia County Public Schools,Oct-22,Banned Pending Investigation,Formal Challenge
The Early History of the Gay Rights Movement,"Baldino, Greg",Florida,Marion County Public Schools,AY 2022-2023,Banned Pending Investigation,Formal Challenge
The Easter Story,"Wildsmith, Brian",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
"The Easter Story: According to the Gospels of Matthew, Luke, and John from the King James Bible",Anonymous,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Elephant in the Room,"Sloan, Holly Goldberg",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Emerald Sea,"Mead, Richelle",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Facts in the Case of the Departure of Miss Finch,"Gaiman, Neil",Florida,Escambia County Public Schools,May-23,Banned Pending Investigation,Formal Challenge
The Family Book,"Parr, Todd",Florida,Florida School for the Deaf & the Blind,Mar-23,Banned from Libraries and Classrooms,Administration
The Family Book,"Parr, Todd",Florida,Okaloosa County Schools District,Jan-23,Banned Pending Investigation,Administration
The Family Book,"Parr, Todd",Florida,School District of Manatee County,Jun-23,Banned from Libraries,Administration
The Family Fletcher Takes Rock Island,"Levy, Dana Alison",Florida,Okaloosa County Schools District,Jan-23,Banned Pending Investigation,Administration
The Fault in Our Stars,"Green, John",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Female of the Species,"McGinnis, Mindy",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Female of the Species,"McGinnis, Mindy",Florida,Escambia County Public Schools,Dec-22,Banned Pending Investigation,Formal Challenge
The Female of the Species,"McGinnis, Mindy",Florida,Martin County Schools,Feb-23,Banned from Libraries and Classrooms,Formal Challenge
The Final Warning,"Patterson, James",Florida,Martin County Schools,Feb-23,Banned from Libraries,Formal Challenge
The Fire Next Time,"Baldwin, James",Florida,Clay County School District,Oct-22,Banned from Libraries and Classrooms,Formal Challenge
The Fire This Time: A New Generation Speaks About Race,"Ward, Jesmyn",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Fixer,"Barnes, Jennifer Lynn",Florida,Martin County Schools,Mar-23,Banned from Libraries and Classrooms,Formal Challenge
The Flower of Sheba,"Orgel, Doris",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Fourth Closet: Five Nights at Freddy’s,"Cawthon, Scott",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Freedom Writers Diary,"Gruwell, Erin",Florida,Escambia County Public Schools,Sep-22,Banned Pending Investigation,Formal Challenge
The Freedom Writers Diary,"Gruwell, Erin",Florida,Martin County Schools,Feb-23,Banned from Libraries and Classrooms,Formal Challenge
The Freedom Writers Diary,"Gruwell, Erin",Florida,St. John's County School District,Jan-23,Banned Pending Investigation,Formal Challenge
The Gay Liberation Movement: Before and After Stonewall,"McGraw, Sean Heather K.",Florida,Marion County Public Schools,AY 2022-2023,Banned Pending Investigation,Formal Challenge
The Gay Rights Movement,"Smith, Jennifer",Florida,Marion County Public Schools,AY 2022-2023,Banned Pending Investigation,Formal Challenge
The Gentleman's Guide to Vice and Virtue,"Lee, Mackenzi",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Girl from the Sea,"Ostertag, Molly Knox",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Glass Castle,"Walls, Jeannette",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Glass Castle,"Walls, Jeannette",Florida,Escambia County Public Schools,Oct-22,Banned Pending Investigation,Formal Challenge
The Glittering Court,"Mead, Richelle",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The God Box,"Sanchez, Alex",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The God of Small Things,"Roy, Arundhati",Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
The God of Small Things,"Roy, Arundhati",Florida,Collier County Public Schools,Mar-23,Banned from Libraries,Administration
The God of Small Things,"Roy, Arundhati",Florida,Escambia County Public Schools,Sep-22,Banned Pending Investigation,Formal Challenge
The Golden Hour,"Smith, Niki",Florida,Gilchrist County Schools,Mar-23,Banned from Libraries and Classrooms,Administration
The Handmaid's Tale,"Atwood, Margaret",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Handmaid's Tale,"Atwood, Margaret",Florida,Escambia County Public Schools,Sep-22,Banned Pending Investigation,Formal Challenge
The Handmaid's Tale,"Atwood, Margaret",Florida,Martin County Schools,Feb-23,Banned from Libraries and Classrooms,Formal Challenge
The Handmaid's Tale,"Atwood, Margaret",Florida,School District of Hamilton County,Mar-23,Banned from Libraries and Classrooms,Administration
The Handmaid's Tale,"Atwood, Margaret",Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret",Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret",Florida,Escambia County Public Schools,Oct-22,Banned Pending Investigation,Formal Challenge
The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret",Florida,St. John's County School District,Jan-23,Banned from Libraries and Classrooms,Formal Challenge
The Handsome Girl & Her Beautiful Boy,"Gottfred, B. T.",Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
The Hate U Give,"Thomas, Angie",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Hate U Give,"Thomas, Angie",Florida,Duval County Public Schools,Mar-23,Banned from Libraries and Classrooms,Administration
The Hate U Give,"Thomas, Angie",Florida,Escambia County Public Schools,Sep-22,Banned Pending Investigation,Formal Challenge
The Hate U Give,"Thomas, Angie",Florida,Highlands Schools,Sep-22,Banned Pending Investigation,Informal Challenge
The Hate U Give,"Thomas, Angie",Florida,Marion County Public Schools,AY 2022-2023,Banned Pending Investigation,Formal Challenge
The Hate U Give,"Thomas, Angie",Florida,Martin County Schools,Feb-23,Banned from Libraries and Classrooms,Formal Challenge
The Hate U Give,"Thomas, Angie",Florida,Okaloosa County Schools District,Jan-23,Banned Pending Investigation,Administration
The Hate U Give,"Thomas, Angie",Florida,School District of Hamilton County,Mar-23,Banned from Libraries and Classrooms,Administration
The Hate U Give,"Thomas, Angie",Florida,School District of Manatee County,Jul-22,Banned from Libraries,Legislative Action
The Hate U Give,"Thomas, Angie",Florida,The School District of Palm Beach County,Jul-22,Banned Pending Investigation,Legislative Action
The Haters,"Andrews, Jesse",Florida,Clay County School District,Jul-22,Banned from Libraries and Classrooms,Formal Challenge
The Haters,"Andrews, Jesse",Florida,Escambia County Public Schools,Sep-22,Banned Pending Investigation,Formal Challenge
The Haters,"Andrews, Jesse",Florida,Flagler Schools,Oct-22,Banned from Libraries and Classrooms,Formal Challenge
The Haters,"Andrews, Jesse",Florida,Martin County Schools,Mar-23,Banned from Libraries and Classrooms,Formal Challenge
The Heartbreak Bakery,"Capetta, A. R.",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Hill We Climb: An Inaugural Poem for the Country,"Gorman, Amanda",Florida,Miami-Dade Public Schools,Mar-23,Banned from Libraries,Formal Challenge
The History Puzzle: How We Know What We Know About the Past,"Beller, Susan Provost",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Holy Bible (King James Version),Anonymous,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
"The Holy Bible: Revised Standard Version Containing the Old and New Testaments, with the Apocrypha/Deuterocanonical Books",Anonymous,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The House of the Spirits,"Allende, Isabel",Florida,Escambia County Public Schools,Sep-22,Banned Pending Investigation,Formal Challenge
The House of the Spirits,"Allende, Isabel",Florida,Lake County Schools,Fall 2022,Banned from Classrooms,Administration
The House on Mango Street,"Cisneros, Sandra",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The House on Mango Street,"Cisneros, Sandra",Florida,School District of Manatee County,Jul-22,Banned from Libraries,Legislative Action
The Illustrated Jewish Bible for Children,"Hastings, Selina",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Infinite Moment of Us,"Myracle, Lauren",Florida,Escambia County Public Schools,Oct-22,Banned Pending Investigation,Formal Challenge
The Infinite Moment of Us,"Myracle, Lauren",Florida,Volusia County Schools,Jan-23,Banned from Libraries,Administration
The International Children's Devotional Bible,"Morgan, Robert J.",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Invisible Life of Addie LaRue,"Schwab, V. E.",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Kingdom of Little Wounds,"Cokal, Susann",Florida,Escambia County Public Schools,Sep-22,Banned Pending Investigation,Formal Challenge
The Kite Runner,"Hosseini, Khaled",Florida,Broward County Public Schools,Oct-22,Banned from Libraries,Informal Challenge
The Kite Runner,"Hosseini, Khaled",Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
The Kite Runner,"Hosseini, Khaled",Florida,Collier County Public Schools,Mar-23,Banned from Libraries,Administration
The Kite Runner,"Hosseini, Khaled",Florida,Duval County Public Schools,Mar-23,Banned from Libraries and Classrooms,Administration
The Kite Runner,"Hosseini, Khaled",Florida,Escambia County Public Schools,Sep-22,Banned Pending Investigation,Formal Challenge
The Kite Runner,"Hosseini, Khaled",Florida,Flagler Schools,Oct-22,Banned Pending Investigation,Formal Challenge
The Kite Runner,"Hosseini, Khaled",Florida,Martin County Schools,Feb-23,Banned from Libraries and Classrooms,Formal Challenge
The Kite Runner,"Hosseini, Khaled",Florida,Okaloosa County Schools District,Jan-23,Banned Pending Investigation,Administration
The Kite Runner,"Hosseini, Khaled",Florida,School District of Hamilton County,Mar-23,Banned from Libraries and Classrooms,Administration
The Kite Runner,"Hosseini, Khaled",Florida,St. John's County School District,Jan-23,Banned from Libraries and Classrooms,Formal Challenge
The League of Super Feminists,"Malle, Mirion",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Lion Children's Bible: Stories from the Old and New Testaments,"Alexander, Pat",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Lotterys More or Less,"Donoghue, Emma",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Lotterys Plus One,"Donoghue, Emma",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Love Interest,"Dietrich, Cale",Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
The Lovely Bones,"Sebold, Alice",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Lovely Bones,"Sebold, Alice",Florida,Martin County Schools,Feb-23,Banned from Libraries and Classrooms,Formal Challenge
The Lovely Bones,"Sebold, Alice",Florida,St. John's County School District,Jan-23,Banned Pending Investigation,Formal Challenge
The Lovely Bones,"Sebold, Alice",Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
The Magic Fish,"Nguyen, Trung Le",Florida,Escambia County Public Schools,May-23,Banned Pending Investigation,Formal Challenge
The Midnight Lie,"Rutkoski, Marie",Florida,Clay County School District,Sep-22,Banned from Libraries and Classrooms,Formal Challenge
The Midnight Lie,"Rutkoski, Marie",Florida,Escambia County Public Schools,Apr-23,Banned Pending Investigation,Formal Challenge
The Midnight Lie,"Rutkoski, Marie",Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
The Mighty Heart of Sunny St. James,"Blake, Ashley Herring",Florida,Escambia County Public Schools,May-23,Banned Pending Investigation,Formal Challenge
The Miracles of Jesus,"DePaola, Tomie",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Morning of the World,"Hartman, Bob",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
The Music of What Happens,"Konigsberg, Bill",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Music of What Happens,"Konigsberg, Bill",Florida,Escambia County Public Schools,Sep-22,Banned Pending Investigation,Formal Challenge
